time	I(I2)	I(I3)	I(R8)	I(R13)
5.996813884703442e-01	-2.001761e-06	-2.001761e-06	-3.740544e-06	1.249377e-03
6.016345134703442e-01	1.025191e-05	1.025191e-05	2.076675e-05	1.253461e-03
6.035876384703442e-01	2.235138e-05	2.235138e-05	4.496568e-05	1.257494e-03
6.055407634703442e-01	3.411466e-05	3.411466e-05	6.849225e-05	1.261415e-03
6.074938884703442e-01	4.536483e-05	4.536483e-05	9.099261e-05	1.265165e-03
6.094470134703442e-01	5.593267e-05	5.593267e-05	1.121283e-04	1.268688e-03
6.114001384703442e-01	6.565923e-05	6.565923e-05	1.315815e-04	1.271930e-03
6.133532634703442e-01	7.439822e-05	7.439822e-05	1.490596e-04	1.274843e-03
6.153063884703442e-01	8.201818e-05	8.201818e-05	1.642996e-04	1.277383e-03
6.172595134703442e-01	8.840451e-05	8.840451e-05	1.770724e-04	1.279512e-03
6.192126384703442e-01	9.346117e-05	9.346117e-05	1.871858e-04	1.281198e-03
6.211657634703442e-01	9.711208e-05	9.711208e-05	1.944877e-04	1.282415e-03
6.231188884703442e-01	9.930233e-05	9.930233e-05	1.988684e-04	1.283145e-03
6.250720134703442e-01	9.999898e-05	9.999898e-05	2.002618e-04	1.283377e-03
6.270251384703442e-01	9.919155e-05	9.919155e-05	1.986471e-04	1.283108e-03
6.289782634703442e-01	9.689219e-05	9.689219e-05	1.940486e-04	1.282341e-03
6.309313884703442e-01	9.313548e-05	9.313548e-05	1.865353e-04	1.281089e-03
6.328845134703442e-01	8.797793e-05	8.797793e-05	1.762204e-04	1.279370e-03
6.348376384703442e-01	8.149711e-05	8.149711e-05	1.632589e-04	1.277210e-03
6.367907634703442e-01	7.379049e-05	7.379049e-05	1.478458e-04	1.274641e-03
6.387438884703442e-01	6.497400e-05	6.497400e-05	1.302130e-04	1.271702e-03
6.406970134703442e-01	5.518024e-05	5.518024e-05	1.106256e-04	1.268438e-03
6.426501384703442e-01	4.455651e-05	4.455651e-05	8.937827e-05	1.264896e-03
6.446032634703442e-01	3.326262e-05	3.326262e-05	6.679058e-05	1.261132e-03
6.465563884703442e-01	2.146842e-05	2.146842e-05	4.320228e-05	1.257200e-03
6.485095134703442e-01	9.351320e-06	9.351320e-06	1.896815e-05	1.253161e-03
6.514392009703442e-01	-9.030447e-06	-9.030447e-06	-1.779532e-05	1.247034e-03
6.533923259703442e-01	-2.115359e-05	-2.115359e-05	-4.204157e-05	1.242993e-03
6.553454509703442e-01	-3.295856e-05	-3.295856e-05	-6.565151e-05	1.239058e-03
6.572985759703442e-01	-4.426780e-05	-4.426780e-05	-8.827001e-05	1.235288e-03
6.592517009703442e-01	-5.491122e-05	-5.491122e-05	-1.095569e-04	1.231740e-03
6.612048259703442e-01	-6.472871e-05	-6.472871e-05	-1.291919e-04	1.228468e-03
6.631579509703442e-01	-7.357263e-05	-7.357263e-05	-1.468798e-04	1.225520e-03
6.651110759703442e-01	-8.130995e-05	-8.130995e-05	-1.623546e-04	1.222941e-03
6.670642009703442e-01	-8.782429e-05	-8.782429e-05	-1.753834e-04	1.220769e-03
6.690173259703442e-01	-9.301767e-05	-9.301767e-05	-1.857702e-04	1.219038e-03
6.709704509703442e-01	-9.681198e-05	-9.681198e-05	-1.933590e-04	1.217773e-03
6.729235759703442e-01	-9.915014e-05	-9.915014e-05	-1.980355e-04	1.216994e-03
6.748767009703442e-01	-9.999700e-05	-9.999700e-05	-1.997293e-04	1.216712e-03
6.768298259703442e-01	-9.933981e-05	-9.933981e-05	-1.984151e-04	1.216931e-03
6.787829509703442e-01	-9.718845e-05	-9.718845e-05	-1.941126e-04	1.217648e-03
6.807360759703442e-01	-9.357529e-05	-9.357529e-05	-1.868864e-04	1.218852e-03
6.826892009703442e-01	-8.855467e-05	-8.855467e-05	-1.768454e-04	1.220526e-03
6.846423259703442e-01	-8.220211e-05	-8.220211e-05	-1.641404e-04	1.222643e-03
6.865954509703442e-01	-7.461315e-05	-7.461315e-05	-1.489626e-04	1.225173e-03
6.885485759703442e-01	-6.590194e-05	-6.590194e-05	-1.315403e-04	1.228077e-03
6.905017009703442e-01	-5.619950e-05	-5.619950e-05	-1.121356e-04	1.231311e-03
6.924548259703442e-01	-4.565177e-05	-4.565177e-05	-9.104025e-05	1.234827e-03
6.944079509703442e-01	-3.441739e-05	-3.441739e-05	-6.857161e-05	1.238571e-03
6.963610759703442e-01	-2.266535e-05	-2.266535e-05	-4.506760e-05	1.242489e-03
6.983142009703442e-01	-1.057239e-05	-1.057239e-05	-2.088177e-05	1.246520e-03
7.012438884703442e-01	7.807627e-06	7.807627e-06	1.587820e-05	1.252646e-03
7.031970134703442e-01	1.995261e-05	1.995261e-05	4.016815e-05	1.256695e-03
7.051501384703442e-01	3.179749e-05	3.179749e-05	6.385790e-05	1.260643e-03
7.071032634703442e-01	4.316410e-05	4.316410e-05	8.659114e-05	1.264432e-03
7.090563884703442e-01	5.388149e-05	5.388149e-05	1.080260e-04	1.268004e-03
7.110095134703442e-01	6.378844e-05	6.378844e-05	1.278399e-04	1.271307e-03
7.129626384703442e-01	7.273597e-05	7.273597e-05	1.457350e-04	1.274289e-03
7.149157634703442e-01	8.058947e-05	8.058947e-05	1.614421e-04	1.276907e-03
7.168688884703442e-01	8.723083e-05	8.723083e-05	1.747250e-04	1.279121e-03
7.188220134703442e-01	9.256016e-05	9.256016e-05	1.853837e-04	1.280897e-03
7.207751384703442e-01	9.649730e-05	9.649730e-05	1.932582e-04	1.282210e-03
7.227282634703442e-01	9.898303e-05	9.898303e-05	1.982298e-04	1.283038e-03
7.246813884703442e-01	9.997996e-05	9.997996e-05	2.002238e-04	1.283371e-03
7.266345134703442e-01	9.947310e-05	9.947310e-05	1.992102e-04	1.283202e-03
7.285876384703442e-01	9.747007e-05	9.747007e-05	1.952043e-04	1.282534e-03
7.305407634703442e-01	9.400101e-05	9.400101e-05	1.882664e-04	1.281378e-03
7.324938884703442e-01	8.911808e-05	8.911808e-05	1.785007e-04	1.279750e-03
7.344470134703442e-01	8.289473e-05	8.289473e-05	1.660541e-04	1.277676e-03
7.364001384703442e-01	7.542457e-05	7.542457e-05	1.511140e-04	1.275186e-03
7.383532634703442e-01	6.681995e-05	6.681995e-05	1.339049e-04	1.272317e-03
7.403063884703442e-01	5.721029e-05	5.721029e-05	1.146857e-04	1.269114e-03
7.422595134703442e-01	4.674015e-05	4.674015e-05	9.374552e-05	1.265624e-03
7.442126384703442e-01	3.556698e-05	3.556698e-05	7.139929e-05	1.261900e-03
7.461657634703442e-01	2.385886e-05	2.385886e-05	4.798314e-05	1.257997e-03
7.481188884703442e-01	1.179187e-05	1.179187e-05	2.384924e-05	1.253975e-03
7.500720134703442e-01	-4.524724e-07	-4.524724e-07	-6.393918e-07	1.249893e-03
7.520251384703442e-01	-1.269001e-05	-1.269001e-05	-2.511443e-05	1.245814e-03
7.539782634703442e-01	-2.473668e-05	-2.473668e-05	-4.920776e-05	1.241799e-03
7.559313884703442e-01	-3.641129e-05	-3.641129e-05	-7.255698e-05	1.237907e-03
7.578845134703442e-01	-4.753824e-05	-4.753824e-05	-9.481089e-05	1.234198e-03
7.598376384703442e-01	-5.795016e-05	-5.795016e-05	-1.156348e-04	1.230728e-03
7.617907634703442e-01	-6.749047e-05	-6.749047e-05	-1.347155e-04	1.227547e-03
7.637438884703442e-01	-7.601565e-05	-7.601565e-05	-1.517659e-04	1.224706e-03
7.656970134703442e-01	-8.339749e-05	-8.339749e-05	-1.665297e-04	1.222245e-03
7.676501384703442e-01	-8.952495e-05	-8.952495e-05	-1.787847e-04	1.220203e-03
7.696032634703442e-01	-9.430588e-05	-9.430588e-05	-1.883467e-04	1.218609e-03
7.715563884703442e-01	-9.766835e-05	-9.766835e-05	-1.950718e-04	1.217488e-03
7.735095134703442e-01	-9.956180e-05	-9.956180e-05	-1.988588e-04	1.216857e-03
7.754626384703442e-01	-9.995775e-05	-9.995775e-05	-1.996509e-04	1.216725e-03
7.774157634703442e-01	-9.885024e-05	-9.885024e-05	-1.974360e-04	1.217094e-03
7.793688884703442e-01	-9.625594e-05	-9.625594e-05	-1.922476e-04	1.217959e-03
7.813220134703442e-01	-9.221386e-05	-9.221386e-05	-1.841636e-04	1.219306e-03
7.832751384703442e-01	-8.678478e-05	-8.678478e-05	-1.733056e-04	1.221116e-03
7.852282634703442e-01	-8.005039e-05	-8.005039e-05	-1.598370e-04	1.223360e-03
7.871813884703442e-01	-7.211197e-05	-7.211197e-05	-1.439603e-04	1.226007e-03
7.891345134703442e-01	-6.308891e-05	-6.308891e-05	-1.259143e-04	1.229014e-03
7.910876384703442e-01	-5.311694e-05	-5.311694e-05	-1.059705e-04	1.232338e-03
7.930407634703442e-01	-4.234604e-05	-4.234604e-05	-8.442884e-05	1.235929e-03
7.949938884703442e-01	-3.093822e-05	-3.093822e-05	-6.161329e-05	1.239731e-03
7.969470134703442e-01	-1.906505e-05	-1.906505e-05	-3.786704e-05	1.243689e-03
7.989001384703442e-01	-6.905135e-06	-6.905135e-06	-1.354727e-05	1.247742e-03
8.008532634703442e-01	5.358645e-06	5.358645e-06	1.098024e-05	1.251830e-03
8.028063884703442e-01	1.754182e-05	1.754182e-05	3.534658e-05	1.255891e-03
8.047595134703442e-01	2.946116e-05	2.946116e-05	5.918524e-05	1.259864e-03
8.067126384703442e-01	4.093737e-05	4.093737e-05	8.213767e-05	1.263690e-03
8.086657634703442e-01	5.179785e-05	5.179785e-05	1.038587e-04	1.267310e-03
8.106188884703442e-01	6.187923e-05	6.187923e-05	1.240215e-04	1.270670e-03
8.125720134703442e-01	7.102990e-05	7.102990e-05	1.423229e-04	1.273720e-03
8.145251384703442e-01	7.911221e-05	7.911221e-05	1.584876e-04	1.276415e-03
8.164782634703442e-01	8.600460e-05	8.600460e-05	1.722725e-04	1.278712e-03
8.184313884703442e-01	9.160340e-05	9.160340e-05	1.834702e-04	1.280578e-03
8.203845134703442e-01	9.582440e-05	9.582440e-05	1.919123e-04	1.281985e-03
8.223376384703442e-01	9.860411e-05	9.860411e-05	1.974719e-04	1.282912e-03
8.242907634703442e-01	9.990072e-05	9.990072e-05	2.000653e-04	1.283344e-03
8.262438884703442e-01	9.969474e-05	9.969474e-05	1.996535e-04	1.283276e-03
8.281970134703442e-01	9.798925e-05	9.798925e-05	1.962426e-04	1.282707e-03
8.301501384703442e-01	9.480991e-05	9.480991e-05	1.898841e-04	1.281647e-03
8.321032634703442e-01	9.020455e-05	9.020455e-05	1.806736e-04	1.280112e-03
8.340563884703442e-01	8.424242e-05	8.424242e-05	1.687495e-04	1.278125e-03
8.360095134703442e-01	7.701321e-05	7.701321e-05	1.542912e-04	1.275715e-03
8.379626384703442e-01	6.862565e-05	6.862565e-05	1.375162e-04	1.272919e-03
8.399157634703442e-01	5.920589e-05	5.920589e-05	1.186769e-04	1.269779e-03
8.418688884703442e-01	4.889562e-05	4.889562e-05	9.805645e-05	1.266343e-03
8.438220134703442e-01	3.784992e-05	3.784992e-05	7.596515e-05	1.262661e-03
8.457751384703442e-01	2.623492e-05	2.623492e-05	5.273525e-05	1.258789e-03
8.477282634703442e-01	1.422532e-05	1.422532e-05	2.871613e-05	1.254786e-03
8.496813884703442e-01	2.001761e-06	2.001761e-06	4.269067e-06	1.250712e-03
8.516345134703442e-01	-1.025191e-05	-1.025191e-05	-2.023823e-05	1.246627e-03
8.535876384703442e-01	-2.235138e-05	-2.235138e-05	-4.443715e-05	1.242594e-03
8.555407634703442e-01	-3.411466e-05	-3.411466e-05	-6.796372e-05	1.238673e-03
8.574938884703442e-01	-4.536483e-05	-4.536483e-05	-9.046408e-05	1.234923e-03
8.594470134703442e-01	-5.593267e-05	-5.593267e-05	-1.115998e-04	1.231400e-03
8.614001384703442e-01	-6.565923e-05	-6.565923e-05	-1.310530e-04	1.228158e-03
8.633532634703442e-01	-7.439822e-05	-7.439822e-05	-1.485310e-04	1.225245e-03
8.653063884703442e-01	-8.201818e-05	-8.201818e-05	-1.637711e-04	1.222705e-03
8.672595134703442e-01	-8.840451e-05	-8.840451e-05	-1.765438e-04	1.220576e-03
8.692126384703442e-01	-9.346117e-05	-9.346117e-05	-1.866573e-04	1.218890e-03
8.711657634703442e-01	-9.711208e-05	-9.711208e-05	-1.939592e-04	1.217673e-03
8.731188884703442e-01	-9.930233e-05	-9.930233e-05	-1.983399e-04	1.216943e-03
8.750720134703442e-01	-9.999898e-05	-9.999898e-05	-1.997333e-04	1.216711e-03
8.770251384703442e-01	-9.919155e-05	-9.919155e-05	-1.981186e-04	1.216980e-03
8.789782634703442e-01	-9.689219e-05	-9.689219e-05	-1.935201e-04	1.217747e-03
8.809313884703442e-01	-9.313548e-05	-9.313548e-05	-1.860068e-04	1.218999e-03
8.828845134703442e-01	-8.797793e-05	-8.797793e-05	-1.756919e-04	1.220718e-03
8.848376384703442e-01	-8.149711e-05	-8.149711e-05	-1.627304e-04	1.222878e-03
8.867907634703442e-01	-7.379049e-05	-7.379049e-05	-1.473173e-04	1.225447e-03
8.887438884703442e-01	-6.497400e-05	-6.497400e-05	-1.296845e-04	1.228386e-03
8.906970134703442e-01	-5.518024e-05	-5.518024e-05	-1.100971e-04	1.231650e-03
8.926501384703442e-01	-4.455651e-05	-4.455651e-05	-8.884975e-05	1.235192e-03
8.946032634703442e-01	-3.326262e-05	-3.326262e-05	-6.626207e-05	1.238956e-03
8.965563884703442e-01	-2.146842e-05	-2.146842e-05	-4.267376e-05	1.242888e-03
8.985095134703442e-01	-9.351320e-06	-9.351320e-06	-1.843963e-05	1.246927e-03
9.014392009703442e-01	9.030447e-06	9.030447e-06	1.832384e-05	1.253054e-03
9.033923259703442e-01	2.115359e-05	2.115359e-05	4.257010e-05	1.257095e-03
9.053454509703442e-01	3.295856e-05	3.295856e-05	6.618004e-05	1.261030e-03
9.072985759703442e-01	4.426780e-05	4.426780e-05	8.879854e-05	1.264800e-03
9.092517009703442e-01	5.491122e-05	5.491122e-05	1.100854e-04	1.268347e-03
9.112048259703442e-01	6.472871e-05	6.472871e-05	1.297205e-04	1.271620e-03
9.131579509703442e-01	7.357263e-05	7.357263e-05	1.474084e-04	1.274568e-03
9.151110759703442e-01	8.130995e-05	8.130995e-05	1.628831e-04	1.277147e-03
9.170642009703442e-01	8.782429e-05	8.782429e-05	1.759119e-04	1.279319e-03
9.190173259703442e-01	9.301767e-05	9.301767e-05	1.862988e-04	1.281050e-03
9.209704509703442e-01	9.681198e-05	9.681198e-05	1.938875e-04	1.282315e-03
9.229235759703442e-01	9.915014e-05	9.915014e-05	1.985640e-04	1.283094e-03
9.248767009703442e-01	9.999700e-05	9.999700e-05	2.002579e-04	1.283376e-03
9.268298259703442e-01	9.933981e-05	9.933981e-05	1.989437e-04	1.283157e-03
9.287829509703442e-01	9.718845e-05	9.718845e-05	1.946411e-04	1.282440e-03
9.307360759703442e-01	9.357529e-05	9.357529e-05	1.874149e-04	1.281236e-03
9.326892009703442e-01	8.855467e-05	8.855467e-05	1.773739e-04	1.279562e-03
9.346423259703442e-01	8.220211e-05	8.220211e-05	1.646689e-04	1.277445e-03
9.365954509703442e-01	7.461315e-05	7.461315e-05	1.494911e-04	1.274915e-03
9.385485759703442e-01	6.590194e-05	6.590194e-05	1.320689e-04	1.272011e-03
9.405017009703442e-01	5.619950e-05	5.619950e-05	1.126641e-04	1.268777e-03
9.424548259703442e-01	4.565177e-05	4.565177e-05	9.156877e-05	1.265261e-03
9.444079509703442e-01	3.441739e-05	3.441739e-05	6.910013e-05	1.261517e-03
9.463610759703442e-01	2.266535e-05	2.266535e-05	4.559612e-05	1.257599e-03
9.483142009703442e-01	1.057239e-05	1.057239e-05	2.141029e-05	1.253568e-03
9.512438884703442e-01	-7.807627e-06	-7.807627e-06	-1.534968e-05	1.247442e-03
9.531970134703442e-01	-1.995261e-05	-1.995261e-05	-3.963962e-05	1.243393e-03
9.551501384703442e-01	-3.179749e-05	-3.179749e-05	-6.332937e-05	1.239445e-03
9.571032634703442e-01	-4.316410e-05	-4.316410e-05	-8.606262e-05	1.235656e-03
9.590563884703442e-01	-5.388149e-05	-5.388149e-05	-1.074974e-04	1.232084e-03
9.610095134703442e-01	-6.378844e-05	-6.378844e-05	-1.273114e-04	1.228781e-03
9.629626384703442e-01	-7.273597e-05	-7.273597e-05	-1.452065e-04	1.225799e-03
9.649157634703442e-01	-8.058947e-05	-8.058947e-05	-1.609136e-04	1.223181e-03
9.668688884703442e-01	-8.723083e-05	-8.723083e-05	-1.741964e-04	1.220967e-03
9.688220134703442e-01	-9.256016e-05	-9.256016e-05	-1.848552e-04	1.219191e-03
9.707751384703442e-01	-9.649730e-05	-9.649730e-05	-1.927296e-04	1.217878e-03
9.727282634703442e-01	-9.898303e-05	-9.898303e-05	-1.977012e-04	1.217050e-03
9.746813884703442e-01	-9.997996e-05	-9.997996e-05	-1.996953e-04	1.216717e-03
9.766345134703442e-01	-9.947310e-05	-9.947310e-05	-1.986817e-04	1.216886e-03
9.785876384703442e-01	-9.747007e-05	-9.747007e-05	-1.946758e-04	1.217554e-03
9.805407634703442e-01	-9.400101e-05	-9.400101e-05	-1.877378e-04	1.218710e-03
9.824938884703442e-01	-8.911808e-05	-8.911808e-05	-1.779721e-04	1.220338e-03
9.844470134703442e-01	-8.289473e-05	-8.289473e-05	-1.655256e-04	1.222412e-03
9.864001384703442e-01	-7.542457e-05	-7.542457e-05	-1.505854e-04	1.224902e-03
9.883532634703442e-01	-6.681995e-05	-6.681995e-05	-1.333764e-04	1.227771e-03
9.903063884703442e-01	-5.721029e-05	-5.721029e-05	-1.141572e-04	1.230974e-03
9.922595134703442e-01	-4.674015e-05	-4.674015e-05	-9.321700e-05	1.234464e-03
9.942126384703442e-01	-3.556698e-05	-3.556698e-05	-7.087077e-05	1.238188e-03
9.961657634703442e-01	-2.385886e-05	-2.385886e-05	-4.745462e-05	1.242091e-03
9.981188884703442e-01	-1.179187e-05	-1.179187e-05	-2.332072e-05	1.246113e-03
1.000000000000000e+00	-2.449294e-19	-2.449294e-19	2.629714e-07	1.250044e-03
